
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

   NODE        X                   Y                   Z
      96   -0.145000000000E-07  0.251147367097E-07  0.475000000000E-07
      97   -0.125000000000E-07  0.216506350946E-07  0.712500000000E-07
      98   -0.105000000000E-07  0.181865334795E-07  0.950000000000E-07
      99   -0.850000000000E-08  0.147224318644E-07  0.118750000000E-06
     100   -0.650000000000E-08  0.112583302492E-07  0.142500000000E-06

   NODE        X                   Y                   Z
     101   -0.450000000000E-08  0.779422863413E-08  0.166250000000E-06
     102     0.00000000000      0.330000000000E-07  0.237500000000E-07
     103     0.00000000000      0.290000000000E-07  0.475000000000E-07
     104     0.00000000000      0.250000000000E-07  0.712500000000E-07
     105     0.00000000000      0.210000000000E-07  0.950000000000E-07
     106     0.00000000000      0.170000000000E-07  0.118750000000E-06
     107     0.00000000000      0.130000000000E-07  0.142500000000E-06
     108     0.00000000000      0.900000000000E-08  0.166250000000E-06
     109    0.450000000000E-08  0.779422863413E-08  0.166250000000E-06
     110    0.650000000000E-08  0.112583302492E-07  0.142500000000E-06
     111    0.850000000000E-08  0.147224318644E-07  0.118750000000E-06
     112    0.105000000000E-07  0.181865334795E-07  0.950000000000E-07
     113    0.125000000000E-07  0.216506350946E-07  0.712500000000E-07
     114    0.145000000000E-07  0.251147367097E-07  0.475000000000E-07
     115    0.165000000000E-07  0.285788383249E-07  0.237500000000E-07
     116    0.185000000000E-07  0.320429399400E-07   0.00000000000    
     117    0.250000000000E-08  0.433012701900E-08  0.190000000000E-06

