
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

   NODE        X                   Y                   Z
     105    0.345000000000E-07  0.345000000000E-07  0.190000000000E-06
     106    0.345000000000E-07  0.370000000000E-07  0.190000000000E-06
     107    0.345000000000E-07  0.395000000000E-07  0.190000000000E-06
     108    0.370000000000E-07  0.345000000000E-07  0.190000000000E-06
     109    0.370000000000E-07  0.370000000000E-07  0.190000000000E-06
     110    0.370000000000E-07  0.395000000000E-07  0.190000000000E-06
     111    0.395000000000E-07  0.345000000000E-07  0.190000000000E-06
     112    0.395000000000E-07  0.370000000000E-07  0.190000000000E-06
     113    0.395000000000E-07  0.395000000000E-07  0.190000000000E-06
     114    0.280000000000E-07  0.460000000000E-07  0.166250000000E-06
     115    0.240000000000E-07  0.500000000000E-07  0.142500000000E-06
     116    0.200000000000E-07  0.540000000000E-07  0.118750000000E-06
     117    0.160000000000E-07  0.580000000000E-07  0.950000000000E-07
     118    0.120000000000E-07  0.620000000000E-07  0.712500000000E-07
     119    0.800000000000E-08  0.660000000000E-07  0.475000000000E-07
     120    0.400000000000E-08  0.700000000000E-07  0.237500000000E-07
     121    0.280000000000E-07  0.325000000000E-07  0.166250000000E-06
     122    0.280000000000E-07  0.370000000000E-07  0.166250000000E-06
     123    0.280000000000E-07  0.415000000000E-07  0.166250000000E-06
     124    0.240000000000E-07  0.305000000000E-07  0.142500000000E-06
     125    0.240000000000E-07  0.370000000000E-07  0.142500000000E-06
     126    0.240000000000E-07  0.435000000000E-07  0.142500000000E-06
     127    0.200000000000E-07  0.285000000000E-07  0.118750000000E-06
     128    0.200000000000E-07  0.370000000000E-07  0.118750000000E-06
     129    0.200000000000E-07  0.455000000000E-07  0.118750000000E-06
     130    0.160000000000E-07  0.265000000000E-07  0.950000000000E-07
     131    0.160000000000E-07  0.370000000000E-07  0.950000000000E-07
     132    0.160000000000E-07  0.475000000000E-07  0.950000000000E-07
     133    0.120000000000E-07  0.245000000000E-07  0.712500000000E-07
     134    0.120000000000E-07  0.370000000000E-07  0.712500000000E-07
     135    0.120000000000E-07  0.495000000000E-07  0.712500000000E-07
     136    0.800000000000E-08  0.225000000000E-07  0.475000000000E-07
     137    0.800000000000E-08  0.370000000000E-07  0.475000000000E-07
     138    0.800000000000E-08  0.515000000000E-07  0.475000000000E-07
     139    0.400000000000E-08  0.205000000000E-07  0.237500000000E-07
     140    0.400000000000E-08  0.370000000000E-07  0.237500000000E-07
     141    0.400000000000E-08  0.535000000000E-07  0.237500000000E-07
     142    0.415000000000E-07  0.460000000000E-07  0.166250000000E-06
     143    0.435000000000E-07  0.500000000000E-07  0.142500000000E-06
     144    0.455000000000E-07  0.540000000000E-07  0.118750000000E-06
     145    0.475000000000E-07  0.580000000000E-07  0.950000000000E-07
     146    0.495000000000E-07  0.620000000000E-07  0.712500000000E-07
     147    0.515000000000E-07  0.660000000000E-07  0.475000000000E-07
     148    0.535000000000E-07  0.700000000000E-07  0.237500000000E-07
     149    0.370000000000E-07  0.460000000000E-07  0.166250000000E-06
     150    0.370000000000E-07  0.500000000000E-07  0.142500000000E-06
     151    0.370000000000E-07  0.540000000000E-07  0.118750000000E-06
     152    0.370000000000E-07  0.580000000000E-07  0.950000000000E-07
     153    0.370000000000E-07  0.620000000000E-07  0.712500000000E-07
     154    0.370000000000E-07  0.660000000000E-07  0.475000000000E-07
     155    0.370000000000E-07  0.700000000000E-07  0.237500000000E-07
     156    0.325000000000E-07  0.460000000000E-07  0.166250000000E-06
     157    0.305000000000E-07  0.500000000000E-07  0.142500000000E-06
     158    0.285000000000E-07  0.540000000000E-07  0.118750000000E-06
     159    0.265000000000E-07  0.580000000000E-07  0.950000000000E-07
     160    0.245000000000E-07  0.620000000000E-07  0.712500000000E-07
     161    0.225000000000E-07  0.660000000000E-07  0.475000000000E-07
     162    0.205000000000E-07  0.700000000000E-07  0.237500000000E-07
     163    0.415000000000E-07  0.325000000000E-07  0.166250000000E-06
     164    0.415000000000E-07  0.370000000000E-07  0.166250000000E-06
     165    0.415000000000E-07  0.415000000000E-07  0.166250000000E-06
     166    0.370000000000E-07  0.325000000000E-07  0.166250000000E-06
     167    0.370000000000E-07  0.370000000000E-07  0.166250000000E-06
     168    0.370000000000E-07  0.415000000000E-07  0.166250000000E-06
     169    0.325000000000E-07  0.325000000000E-07  0.166250000000E-06
     170    0.325000000000E-07  0.370000000000E-07  0.166250000000E-06
     171    0.325000000000E-07  0.415000000000E-07  0.166250000000E-06
     172    0.435000000000E-07  0.305000000000E-07  0.142500000000E-06
     173    0.435000000000E-07  0.370000000000E-07  0.142500000000E-06
     174    0.435000000000E-07  0.435000000000E-07  0.142500000000E-06
     175    0.370000000000E-07  0.305000000000E-07  0.142500000000E-06
     176    0.370000000000E-07  0.370000000000E-07  0.142500000000E-06
     177    0.370000000000E-07  0.435000000000E-07  0.142500000000E-06
     178    0.305000000000E-07  0.305000000000E-07  0.142500000000E-06
     179    0.305000000000E-07  0.370000000000E-07  0.142500000000E-06
     180    0.305000000000E-07  0.435000000000E-07  0.142500000000E-06
     181    0.455000000000E-07  0.285000000000E-07  0.118750000000E-06
     182    0.455000000000E-07  0.370000000000E-07  0.118750000000E-06
     183    0.455000000000E-07  0.455000000000E-07  0.118750000000E-06
     184    0.370000000000E-07  0.285000000000E-07  0.118750000000E-06
     185    0.370000000000E-07  0.370000000000E-07  0.118750000000E-06
     186    0.370000000000E-07  0.455000000000E-07  0.118750000000E-06
     187    0.285000000000E-07  0.285000000000E-07  0.118750000000E-06
     188    0.285000000000E-07  0.370000000000E-07  0.118750000000E-06
     189    0.285000000000E-07  0.455000000000E-07  0.118750000000E-06
     190    0.475000000000E-07  0.265000000000E-07  0.950000000000E-07
     191    0.475000000000E-07  0.370000000000E-07  0.950000000000E-07
     192    0.475000000000E-07  0.475000000000E-07  0.950000000000E-07
     193    0.370000000000E-07  0.265000000000E-07  0.950000000000E-07
     194    0.370000000000E-07  0.370000000000E-07  0.950000000000E-07
     195    0.370000000000E-07  0.475000000000E-07  0.950000000000E-07
     196    0.265000000000E-07  0.265000000000E-07  0.950000000000E-07
     197    0.265000000000E-07  0.370000000000E-07  0.950000000000E-07
     198    0.265000000000E-07  0.475000000000E-07  0.950000000000E-07
     199    0.495000000000E-07  0.245000000000E-07  0.712500000000E-07
     200    0.495000000000E-07  0.370000000000E-07  0.712500000000E-07
     201    0.495000000000E-07  0.495000000000E-07  0.712500000000E-07
     202    0.370000000000E-07  0.245000000000E-07  0.712500000000E-07
     203    0.370000000000E-07  0.370000000000E-07  0.712500000000E-07
     204    0.370000000000E-07  0.495000000000E-07  0.712500000000E-07
     205    0.245000000000E-07  0.245000000000E-07  0.712500000000E-07
     206    0.245000000000E-07  0.370000000000E-07  0.712500000000E-07
     207    0.245000000000E-07  0.495000000000E-07  0.712500000000E-07
     208    0.515000000000E-07  0.225000000000E-07  0.475000000000E-07
     209    0.515000000000E-07  0.370000000000E-07  0.475000000000E-07
     210    0.515000000000E-07  0.515000000000E-07  0.475000000000E-07
     211    0.370000000000E-07  0.225000000000E-07  0.475000000000E-07
     212    0.370000000000E-07  0.370000000000E-07  0.475000000000E-07
     213    0.370000000000E-07  0.515000000000E-07  0.475000000000E-07
     214    0.225000000000E-07  0.225000000000E-07  0.475000000000E-07
     215    0.225000000000E-07  0.370000000000E-07  0.475000000000E-07
     216    0.225000000000E-07  0.515000000000E-07  0.475000000000E-07
     217    0.535000000000E-07  0.205000000000E-07  0.237500000000E-07
     218    0.535000000000E-07  0.370000000000E-07  0.237500000000E-07
     219    0.535000000000E-07  0.535000000000E-07  0.237500000000E-07
     220    0.370000000000E-07  0.205000000000E-07  0.237500000000E-07
     221    0.370000000000E-07  0.370000000000E-07  0.237500000000E-07
     222    0.370000000000E-07  0.535000000000E-07  0.237500000000E-07
     223    0.205000000000E-07  0.205000000000E-07  0.237500000000E-07
     224    0.205000000000E-07  0.370000000000E-07  0.237500000000E-07
     225    0.205000000000E-07  0.535000000000E-07  0.237500000000E-07

